ktonNH3/a,2013,2014,2015,2016,2017
AT,485.71428571428567,485.71428571428567,485.71428571428567,485.71428571428567,485.71428571428567
BG,364.2857142857143,380.07142857142856,380.07142857142856,380.07142857142856,380.07142857142856
BE,1080.7142857142856,995.7142857142857,1044.2857142857142,922.8571428571428,922.8571428571428
HR,416.49999999999994,456.57142857142856,455.35714285714283,421.35714285714283,469.9285714285714
CZ,185.78571428571428,212.49999999999997,218.57142857142856,218.57142857142856,206.42857142857142
EE,120.21428571428571,36.42857142857142,42.5,42.5,42.5
FI,94.71428571428571,94.71428571428571,94.71428571428571,94.71428571428571,94.71428571428571
FR,983.5714285714284,922.8571428571428,1262.8571428571427,1226.4285714285713,1226.4285714285713
DE,3347.785714285714,3084.285714285714,3035.7142857142853,3035.7142857142853,3035.7142857142853
GR,127.49999999999999,144.5,144.5,91.07142857142857,97.14285714285714
HU,352.1428571428571,473.57142857142856,400.71428571428567,449.2857142857143,449.2857142857143
IT,692.1428571428571,692.1428571428571,692.1428571428571,692.1428571428571,692.1428571428571
LT,841.4999999999999,989.6428571428571,1063.7142857142856,914.3571428571428,1125.642857142857
NL,2792.8571428571427,2671.428571428571,2792.8571428571427,2792.8571428571427,2792.8571428571427
NO,364.2857142857143,364.2857142857143,364.2857142857143,364.2857142857143,364.2857142857143
PL,2573.0714285714284,2671.428571428571,2671.428571428571,2716.3571428571427,2837.785714285714
RO,1117.142857142857,1190.0,607.1428571428571,534.2857142857142,534.2857142857142
RS,201.57142857142856,109.28571428571428,88.64285714285714,72.85714285714285,72.85714285714285
SK,473.57142857142856,340.0,473.57142857142856,400.71428571428567,400.71428571428567
ES,534.2857142857142,534.2857142857142,485.71428571428567,497.85714285714283,497.85714285714283
CH,24.285714285714285,24.285714285714285,36.42857142857142,36.42857142857142,36.42857142857142
GB,959.2857142857142,983.5714285714284,1019.9999999999999,995.7142857142857,995.7142857142857
