country,number cars,average fuel efficiency,vehicle-km driven,km per vehicle,ICEV 2001-2005,ICEV 2006-2010,ICEV 2011-2015,EV 2001-2005,EV 2006-2010,EV 2011-2015
AL,1302499.987085448,0.7961097757021997,15545122137.015804,11934.834772475122,504133.5410271857,530820.0335250262,502800.37207092956,0.0,66.23749855096786,933.7106838792274
AT,4513000.0,0.7539379043953159,63850999999.99999,14148.238422335473,1507767.0,1552106.0,1635671.0,0.0,153.0,4964.0
BA,1742819.720016512,0.7961097757021997,20800265396.608425,11934.834772475122,674559.6050177102,710267.6632476241,672775.7484571615,0.0,88.62957376107728,1249.3584712397128
BE,5407000.0,0.6478651818211225,89026972780.89058,16465.13275030342,2425479.0,2643349.0,2640447.0,0.0,54.0,3871.0
BG,2923657.0,0.7890387850264401,23555049772.102535,8056.707668547485,861230.0,1307411.0,1242749.0,0.0,0.0,0.0
CH,4136000.0,0.7961097757021997,49362476618.95711,11934.834772475122,1435493.857718373,1511482.2475934909,1431697.728930538,0.0,188.60780841284387,2658.692275986402
CZ,4582000.0,0.7387535192740904,44597112469.52057,9733.11053459637,1454648.0,1727526.0,1886086.0,0.0,6.0,710.0
DE,42928000.0,0.7552996085254098,507952003068.2056,11832.650090109151,16510981.0,16671059.0,15498591.0,0.0,2542.0,32811.0
DK,2199500.0,0.7266414210641985,35211689874.79039,16008.95197762691,570952.0,797428.0,950067.0,0.0,0.0,4587.0
EE,574000.0,0.856345365809167,5785816189.297368,10079.819145117366,214341.0,225833.0,273958.0,0.0,2.0,1136.0
ES,22277000.0,0.7464642087952883,260552154597.70312,11696.016276774391,7344624.0,6507018.0,4349028.0,0.0,76.0,5444.0
FI,2978729.0,0.6582251063846402,39690909090.90909,13324.780163253887,1032087.0,1091004.0,1098305.0,0.0,29.0,591.0
FR,31550000.0,0.6434376755673564,393703170007.85394,12478.705863957335,10491431.0,11229800.0,10330205.0,0.0,188.0,46354.0
GB,28467000.0,0.7552259913160309,350669178759.1081,12318.445173678578,13038967.0,10856730.0,11593088.0,0.0,116.0,21565.0
GR,5180433.0,0.7646126413238824,49477172755.37466,9550.77939534681,1873686.0,1965294.0,1494554.0,0.0,0.0,69.0
HR,1518000.0,0.6959412326573443,20050000000.0,13208.168642951252,659461.0,646813.0,429502.0,0.0,0.0,167.0
HU,2967810.0,0.8040965122403337,26358348953.801186,8881.413888962294,1261969.0,865440.0,906725.0,0.0,177.0,492.0
IE,1962460.0,0.745011534970623,33662456295.176773,17153.193591297033,809119.0,785058.0,585435.0,0.0,19.0,2119.0
IT,37743940.0,0.6644897478298634,355541000000.0,9419.816797080537,15559118.0,14942679.0,10921931.0,0.0,3681.0,9468.0
LT,1204958.0,0.7137245330854497,15258044980.41982,12662.719348242694,833597.0,663554.0,726205.0,0.0,0.0,176.0
LU,345600.0,2.0274831849452393,5160501986.434863,14932.008062600877,241520.0,252042.0,244889.0,0.0,198.0,890.0
LV,612320.0,0.8626918224934985,6678708660.818222,10907.219527074441,345249.0,312617.0,317093.0,0.0,0.0,212.0
ME,292646.0392691121,0.7961097757021997,3492682125.496119,11934.834772475122,113268.85643542021,119264.7845804587,112969.319684101,0.0,14.882258575226102,209.78636174265392
MK,928813.5061725819,0.7961097757021997,11085235730.613068,11934.834772475122,359497.9243481106,378528.0778299789,358547.2407820006,0.0,47.2339991395253,665.8296373463
NL,7735547.0,0.6962154496300998,98190000000.0,12693.349287387175,2557133.0,2598338.0,2575918.0,0.0,53.0,11241.0
NO,2286691.128381262,0.7961097757021997,27291280792.91506,11934.834772475122,885065.4182084604,931916.6782833072,882724.8841162293,0.0,116.28767892857441,1639.2383558322144
PL,18125000.0,0.7989571517921507,129354482849.36955,7136.79905375832,5473648.0,7258620.0,8005220.0,0.0,15.0,358.0
PT,4712200.0,0.665774889926279,62133726504.899536,13185.715059823338,1798456.0,1670858.0,1170571.0,0.0,719.0,1301.0
RO,4335000.0,0.8115701112415002,38322000000.0,8840.138408304498,1152509.0,2961071.0,1880620.0,0.0,188.0,1288.0
RS,3246119.912508151,0.7961097757021997,38741904807.42618,11934.83477247512,1256413.0075375072,1322921.6874232418,1253090.4537267203,0.0,165.0785912728926,2327.0148740992845
SE,4400550.0,0.8724941426526628,58917979282.03481,13388.77623979612,1452214.0,1399749.0,1608011.0,0.0,40.0,4863.0
SI,1117500.0,0.8197574851599163,15372059755.895842,13755.75817082402,338093.0,359172.0,300366.0,0.0,0.0,290.0
SK,1749300.0,0.6847989603292881,14776845349.674643,8447.290544603351,366185.0,803049.0,885345.0,0.0,0.0,129.0
